Instance,BMA Weighted Prediction
Instance 1,0.4734964438122333
Instance 2,0.4851549636803875
Instance 3,0.4899802631578948
Instance 4,0.4857002497918402
Instance 5,0.45922473867595826
Instance 6,0.4663134461264471
Instance 7,0.4511069809610154
Instance 8,0.493257874015748
Instance 9,0.5317263033175356
Instance 10,0.49782204515272255
Instance 11,0.4586575757575759
Instance 12,0.3860480427046264
Instance 13,0.5063746425166825
Instance 14,0.5078199802176064
Instance 15,0.47166489925768834
Instance 16,0.44523005780346825
Instance 17,0.4335426829268293
Instance 18,0.47952393980848146
Instance 19,0.4586575757575759
Instance 20,0.4335426829268293
Instance 21,0.5294044368600683
Instance 22,0.4953063829787234
Instance 23,0.47166489925768834
Instance 24,0.4335426829268293
Instance 25,0.3860480427046264
Instance 26,0.37688795518207285
Instance 27,0.4866246648793565
Instance 28,0.5317263033175356
Instance 29,0.49782204515272255
Instance 30,0.4586575757575759
All Method BMA Weighted Prediction,0.4734964438122333
