Instance,BMA Weighted Prediction
Instance 1,0.21474608819345664
Instance 2,0.23115577078288943
Instance 3,0.22064391447368423
Instance 4,0.21794587843463784
Instance 5,0.22008275261324045
Instance 6,0.19628584149599287
Instance 7,0.19956754306436988
Instance 8,0.24013779527559057
Instance 9,0.2518862559241707
Instance 10,0.2375099601593626
Instance 11,0.1984409090909091
Instance 12,0.15896975088967974
Instance 13,0.24096472831267876
Instance 14,0.2256409495548962
Instance 15,0.22531813361611883
Instance 16,0.19786242774566473
Instance 17,0.16904756097560975
Instance 18,0.2249138166894665
Instance 19,0.1984409090909091
Instance 20,0.16904756097560975
Instance 21,0.2786928327645052
Instance 22,0.2071085106382979
Instance 23,0.22531813361611883
Instance 24,0.16904756097560975
Instance 25,0.15896975088967974
Instance 26,0.1377058823529412
Instance 27,0.229171581769437
Instance 28,0.2518862559241707
Instance 29,0.2375099601593626
Instance 30,0.1984409090909091
All Method BMA Weighted Prediction,0.21474608819345664
