Instance,BMA Weighted Prediction
Instance 1,0.15454850640113799
Instance 2,0.16270960451977404
Instance 3,0.16010296052631579
Instance 4,0.15976286427976688
Instance 5,0.16321184668989547
Instance 6,0.13870970614425646
Instance 7,0.1406892112420671
Instance 8,0.17231299212598425
Instance 9,0.18195165876777253
Instance 10,0.18504276228419655
Instance 11,0.1521560606060606
Instance 12,0.1133950177935943
Instance 13,0.17062650142993327
Instance 14,0.16742354104846688
Instance 15,0.17173616118769885
Instance 16,0.14548323699421964
Instance 17,0.11421463414634146
Instance 18,0.1560358413132695
Instance 19,0.1521560606060606
Instance 20,0.11421463414634146
Instance 21,0.21098839590443685
Instance 22,0.1655595744680851
Instance 23,0.17173616118769885
Instance 24,0.11421463414634146
Instance 25,0.1133950177935943
Instance 26,0.10730532212885154
Instance 27,0.1566651474530831
Instance 28,0.18195165876777253
Instance 29,0.18504276228419655
Instance 30,0.1521560606060606
All Method BMA Weighted Prediction,0.15454850640113796
