Instance,BMA Weighted Prediction
Instance 1,0.3975327169274538
Instance 2,0.4257748184019371
Instance 3,0.41808470394736835
Instance 4,0.41452206494587845
Instance 5,0.39135975609756096
Instance 6,0.3669225289403384
Instance 7,0.3622420670897552
Instance 8,0.43399212598425196
Instance 9,0.4927784360189574
Instance 10,0.4484077025232404
Instance 11,0.36562727272727275
Instance 12,0.25449466192170817
Instance 13,0.45471401334604383
Instance 14,0.44243422354104844
Instance 15,0.4116553552492047
Instance 16,0.3496
Instance 17,0.30814146341463416
Instance 18,0.4200642954856361
Instance 19,0.36562727272727275
Instance 20,0.30814146341463416
Instance 21,0.5226194539249146
Instance 22,0.4059021276595745
Instance 23,0.4116553552492047
Instance 24,0.30814146341463416
Instance 25,0.25449466192170817
Instance 26,0.22951260504201684
Instance 27,0.4257600536193029
Instance 28,0.4927784360189574
Instance 29,0.4484077025232404
Instance 30,0.36562727272727275
All Method BMA Weighted Prediction,0.3975327169274538
