Instance,BMA Weighted Prediction
Instance 1,0.3847126600284495
Instance 2,0.39127845036319614
Instance 3,0.38857401315789475
Instance 4,0.39012572855953376
Instance 5,0.38037804878048787
Instance 6,0.37632413178984864
Instance 7,0.3802384406165004
Instance 8,0.38162992125984246
Instance 9,0.40761729857819917
Instance 10,0.3929734395750332
Instance 11,0.3727500000000001
Instance 12,0.35031494661921714
Instance 13,0.39694375595805537
Instance 14,0.39578733926805143
Instance 15,0.3863297985153765
Instance 16,0.3680693641618497
Instance 17,0.36720609756097566
Instance 18,0.397983584131327
Instance 19,0.3727500000000001
Instance 20,0.36720609756097566
Instance 21,0.40920989761092147
Instance 22,0.377904255319149
Instance 23,0.3863297985153765
Instance 24,0.36720609756097566
Instance 25,0.35031494661921714
Instance 26,0.34877310924369753
Instance 27,0.3952962466487936
Instance 28,0.40761729857819917
Instance 29,0.3929734395750332
Instance 30,0.3727500000000001
All Method BMA Weighted Prediction,0.3847126600284495
