Instance,BMA Weighted Prediction
Instance 1,0.19783101045296167
Instance 2,0.20801630988786954
Instance 3,0.2156471816283925
Instance 4,0.20583775185577946
Instance 5,0.19783101045296167
Instance 6,0.18239884393063585
Instance 7,0.17266982248520707
Instance 8,0.2248208661417323
Instance 9,0.25689249146757676
Instance 10,0.23052456839309432
Instance 11,0.18904545454545457
Instance 12,0.13624733096085412
Instance 13,0.23204045512010113
Instance 14,0.23052456839309432
Instance 15,0.20583775185577946
Instance 16,0.18239884393063585
Instance 17,0.13624733096085412
Instance 18,0.18996828752642705
Instance 19,0.18904545454545457
Instance 20,0.13624733096085412
Instance 21,0.25689249146757676
Instance 22,0.2218085106382979
Instance 23,0.20583775185577946
Instance 24,0.13624733096085412
Instance 25,0.13624733096085412
Instance 26,0.12203361344537818
Instance 27,0.20971311475409835
Instance 28,0.25689249146757676
Instance 29,0.23052456839309432
Instance 30,0.18904545454545457
All Method BMA Weighted Prediction,597.4517140825037
