Instance,BMA Weighted Prediction
Instance 1,0.15056187766714085
Instance 2,0.15778127522195323
Instance 3,0.1589309210526316
Instance 4,0.08750208159866779
Instance 5,0.16214982578397213
Instance 6,0.17035975066785397
Instance 7,0.16967089755213055
Instance 8,0.25815551181102364
Instance 9,0.08348459715639811
Instance 10,0.0811660026560425
Instance 11,0.08965454545454547
Instance 12,0.25129715302491107
Instance 13,0.16879027645376551
Instance 14,0.08571711177052424
Instance 15,0.08435630965005304
Instance 16,0.19164393063583815
Instance 17,0.20337926829268294
Instance 18,0.08802735978112175
Instance 19,0.08965454545454547
Instance 20,0.20337926829268294
Instance 21,0.07665358361774745
Instance 22,0.08668510638297873
Instance 23,0.08435630965005304
Instance 24,0.20337926829268294
Instance 25,0.25129715302491107
Instance 26,0.09700000000000003
Instance 27,0.20444772117962468
Instance 28,0.08348459715639811
Instance 29,0.0811660026560425
Instance 30,0.08965454545454547
All Method BMA Weighted Prediction,0.15056187766714083
