Instance,BMA Weighted Prediction
Instance 1,0.21979800853485063
Instance 2,0.23257546408393867
Instance 3,0.22992269736842105
Instance 4,0.22915154038301416
Instance 5,0.2141341463414634
Instance 6,0.2048788958147818
Instance 7,0.20518313689936538
Instance 8,0.2294173228346457
Instance 9,0.2664526066350711
Instance 10,0.24243160690571056
Instance 11,0.2015818181818182
Instance 12,0.14973309608540927
Instance 13,0.24662631077216401
Instance 14,0.2430870425321464
Instance 15,0.22481548250265115
Instance 16,0.1929121387283237
Instance 17,0.17970731707317072
Instance 18,0.23477017783857732
Instance 19,0.2015818181818182
Instance 20,0.17970731707317072
Instance 21,0.2758976109215017
Instance 22,0.22041276595744683
Instance 23,0.22481548250265115
Instance 24,0.17970731707317072
Instance 25,0.14973309608540927
Instance 26,0.14096638655462185
Instance 27,0.23591420911528152
Instance 28,0.2664526066350711
Instance 29,0.24243160690571056
Instance 30,0.2015818181818182
All Method BMA Weighted Prediction,0.21979800853485063
