Instance,BMA Weighted Prediction
Instance 1,0.2456813655761024
Instance 2,0.25453430185633574
Instance 3,0.25031907894736843
Instance 4,0.2539908409658618
Instance 5,0.234822299651568
Instance 6,0.24938112199465717
Instance 7,0.22911151405258387
Instance 8,0.26201377952755905
Instance 9,0.27718364928909955
Instance 10,0.2498685258964144
Instance 11,0.24820909090909093
Instance 12,0.19837188612099646
Instance 13,0.26151382268827456
Instance 14,0.2611305637982196
Instance 15,0.24304453870625667
Instance 16,0.2360728323699422
Instance 17,0.228459756097561
Instance 18,0.24933652530779757
Instance 19,0.24820909090909093
Instance 20,0.228459756097561
Instance 21,0.2697798634812287
Instance 22,0.26122978723404255
Instance 23,0.24304453870625667
Instance 24,0.228459756097561
Instance 25,0.19837188612099646
Instance 26,0.1991596638655462
Instance 27,0.24344504021447722
Instance 28,0.27718364928909955
Instance 29,0.2498685258964144
Instance 30,0.24820909090909093
All Method BMA Weighted Prediction,0.2456813655761024
