Instance,BMA Weighted Prediction
Instance 1,0.30147368421052634
Instance 2,0.3156900726392252
Instance 3,0.315610197368421
Instance 4,0.3205012489592007
Instance 5,0.28517421602787457
Instance 6,0.2842048085485307
Instance 7,0.28374796010879416
Instance 8,0.2949763779527559
Instance 9,0.36978672985781996
Instance 10,0.32980079681274904
Instance 11,0.27836363636363637
Instance 12,0.19888256227758008
Instance 13,0.33465204957102
Instance 14,0.341080118694362
Instance 15,0.305864262990456
Instance 16,0.25742196531791905
Instance 17,0.2539804878048781
Instance 18,0.33008481532147743
Instance 19,0.27836363636363637
Instance 20,0.2539804878048781
Instance 21,0.3679317406143344
Instance 22,0.3055957446808511
Instance 23,0.305864262990456
Instance 24,0.2539804878048781
Instance 25,0.19888256227758008
Instance 26,0.20398319327731093
Instance 27,0.3219195710455764
Instance 28,0.36978672985781996
Instance 29,0.32980079681274904
Instance 30,0.27836363636363637
All Method BMA Weighted Prediction,0.30147368421052634
