Instance,BMA Weighted Prediction
Instance 1,0.43277880512091044
Instance 2,0.45364083938660216
Instance 3,0.4491504934210527
Instance 4,0.4470791007493756
Instance 5,0.424189024390244
Instance 6,0.41256277827248444
Instance 7,0.40524750679963734
Instance 8,0.45874803149606297
Instance 9,0.5073412322274883
Instance 10,0.4689296148738381
Instance 11,0.4094621212121213
Instance 12,0.3208024911032029
Instance 13,0.47639752144899905
Instance 14,0.4694579624134521
Instance 15,0.4405344644750796
Instance 16,0.39513294797687865
Instance 17,0.368059756097561
Instance 18,0.4500916552667579
Instance 19,0.4094621212121213
Instance 20,0.368059756097561
Instance 21,0.5233412969283276
Instance 22,0.44239361702127666
Instance 23,0.4405344644750796
Instance 24,0.368059756097561
Instance 25,0.3208024911032029
Instance 26,0.3046106442577031
Instance 27,0.45340750670241287
Instance 28,0.5073412322274883
Instance 29,0.4689296148738381
Instance 30,0.4094621212121213
All Method BMA Weighted Prediction,0.43277880512091044
