Instance,BMA Weighted Prediction
Instance 1,0.15790113798008537
Instance 2,0.16125746569814367
Instance 3,0.1603856907894737
Instance 4,0.1578842631140716
Instance 5,0.16192421602787455
Instance 6,0.1528361531611754
Instance 7,0.1523798730734361
Instance 8,0.1699291338582677
Instance 9,0.1663838862559242
Instance 10,0.16801992031872512
Instance 11,0.15625
Instance 12,0.14516192170818504
Instance 13,0.164745471877979
Instance 14,0.1608694362017804
Instance 15,0.16277730646871688
Instance 16,0.15666473988439306
Instance 17,0.1435378048780488
Instance 18,0.1552311901504788
Instance 19,0.15625
Instance 20,0.1435378048780488
Instance 21,0.178
Instance 22,0.16201063829787232
Instance 23,0.16277730646871688
Instance 24,0.1435378048780488
Instance 25,0.14516192170818504
Instance 26,0.13778991596638657
Instance 27,0.15936193029490614
Instance 28,0.1663838862559242
Instance 29,0.16801992031872512
Instance 30,0.15625
All Method BMA Weighted Prediction,0.15790113798008534
