Instance,BMA Weighted Prediction
Instance 1,0.12133641536273115
Instance 2,0.12758192090395482
Instance 3,0.1215452302631579
Instance 4,0.1219059117402165
Instance 5,0.12186149825783972
Instance 6,0.11864915405164737
Instance 7,0.11566001813236627
Instance 8,0.13231496062992126
Instance 9,0.13161611374407586
Instance 10,0.12338247011952191
Instance 11,0.11871363636363638
Instance 12,0.10589857651245553
Instance 13,0.12895519542421355
Instance 14,0.12226409495548962
Instance 15,0.12270095440084837
Instance 16,0.11854450867052023
Instance 17,0.11002073170731706
Instance 18,0.12429274965800273
Instance 19,0.11871363636363638
Instance 20,0.11002073170731706
Instance 21,0.13717064846416382
Instance 22,0.11819361702127659
Instance 23,0.12270095440084837
Instance 24,0.11002073170731706
Instance 25,0.10589857651245553
Instance 26,0.09894957983193278
Instance 27,0.123656836461126
Instance 28,0.13161611374407586
Instance 29,0.12338247011952191
Instance 30,0.11871363636363638
All Method BMA Weighted Prediction,0.12133641536273115
