Instance,BMA Weighted Prediction
Instance 1,0.22589758179231864
Instance 2,0.24259725585149317
Instance 3,0.2388503289473684
Instance 4,0.23083014154870943
Instance 5,0.23418989547038327
Instance 6,0.21075155832591272
Instance 7,0.1942783318223028
Instance 8,0.28288976377952757
Instance 9,0.2760936018957346
Instance 10,0.26732403718459496
Instance 11,0.2235257575757576
Instance 12,0.15051423487544485
Instance 13,0.26063679694947567
Instance 14,0.24733630069238377
Instance 15,0.24227465535524922
Instance 16,0.2172393063583815
Instance 17,0.16262317073170732
Instance 18,0.21459644322845414
Instance 19,0.2235257575757576
Instance 20,0.16262317073170732
Instance 21,0.31443856655290103
Instance 22,0.2560787234042553
Instance 23,0.24227465535524922
Instance 24,0.16262317073170732
Instance 25,0.15051423487544485
Instance 26,0.12382072829131653
Instance 27,0.2279959785522788
Instance 28,0.2760936018957346
Instance 29,0.26732403718459496
Instance 30,0.2235257575757576
All Method BMA Weighted Prediction,0.22589758179231864
