Instance,BMA Weighted Prediction
Instance 1,0.17100782361308678
Instance 2,0.18111783696529463
Instance 3,0.17788404605263158
Instance 4,0.17186261448792675
Instance 5,0.1808980836236934
Instance 6,0.16647373107747107
Instance 7,0.14546237533998188
Instance 8,0.22445275590551184
Instance 9,0.1969727488151659
Instance 10,0.1985537848605578
Instance 11,0.1820515151515152
Instance 12,0.13201423487544486
Instance 13,0.19091992373689226
Instance 14,0.1802937685459941
Instance 15,0.18413679745493108
Instance 16,0.17824739884393065
Instance 17,0.13043658536585367
Instance 18,0.15100273597811217
Instance 19,0.1820515151515152
Instance 20,0.13043658536585367
Instance 21,0.2277798634812287
Instance 22,0.20430638297872344
Instance 23,0.18413679745493108
Instance 24,0.13043658536585367
Instance 25,0.13201423487544486
Instance 26,0.11249859943977593
Instance 27,0.16123726541554959
Instance 28,0.1969727488151659
Instance 29,0.1985537848605578
Instance 30,0.1820515151515152
All Method BMA Weighted Prediction,0.17100782361308678
