Instance,BMA Weighted Prediction
Instance 1,0.02886415362731152
Instance 2,0.02992413236481033
Instance 3,0.03196792763157894
Instance 4,0.03225478767693589
Instance 5,0.034901567944250866
Instance 6,0.012953695458593055
Instance 7,0.030475067996373527
Instance 8,0.0173503937007874
Instance 9,0.039716824644549766
Instance 10,0.04848871181938911
Instance 11,0.018463636363636363
Instance 12,0.012565836298932386
Instance 13,0.03371401334604385
Instance 14,0.03662512363996043
Instance 15,0.04053234358430541
Instance 16,0.016220809248554912
Instance 17,0.009241463414634148
Instance 18,0.03866210670314637
Instance 19,0.018463636363636363
Instance 20,0.009241463414634148
Instance 21,0.056322525597269614
Instance 22,0.02228936170212766
Instance 23,0.04053234358430541
Instance 24,0.009241463414634148
Instance 25,0.012565836298932386
Instance 26,0.014613445378151261
Instance 27,0.0380656836461126
Instance 28,0.039716824644549766
Instance 29,0.04848871181938911
Instance 30,0.018463636363636363
All Method BMA Weighted Prediction,0.02886415362731152
