Instance,BMA Weighted Prediction
Instance 1,0.15388833570412522
Instance 2,0.1560298627925747
Instance 3,0.16074588815789476
Instance 4,0.15574687760199837
Instance 5,0.13768205574912892
Instance 6,0.16923241317898488
Instance 7,0.14314415231187672
Instance 8,0.17282283464566928
Instance 9,0.16955687203791472
Instance 10,0.14321912350597613
Instance 11,0.155189393939394
Instance 12,0.13035765124555163
Instance 13,0.1643670162059104
Instance 14,0.16434421364985166
Instance 15,0.1365259809119831
Instance 16,0.1523005780346821
Instance 17,0.16045000000000004
Instance 18,0.14435978112175102
Instance 19,0.155189393939394
Instance 20,0.16045000000000004
Instance 21,0.14470648464163824
Instance 22,0.1734574468085107
Instance 23,0.1365259809119831
Instance 24,0.16045000000000004
Instance 25,0.13035765124555163
Instance 26,0.1230980392156863
Instance 27,0.1527372654155496
Instance 28,0.16955687203791472
Instance 29,0.14321912350597613
Instance 30,0.155189393939394
All Method BMA Weighted Prediction,0.15388833570412522
