Instance,BMA Weighted Prediction
Instance 1,0.3498072546230441
Instance 2,0.358138014527845
Instance 3,0.3535271381578947
Instance 4,0.3586502914238135
Instance 5,0.34122386759581885
Instance 6,0.3427025823686554
Instance 7,0.34288667271078876
Instance 8,0.3439271653543307
Instance 9,0.37997985781990523
Instance 10,0.35683266932270924
Instance 11,0.3388803030303031
Instance 12,0.3044946619217082
Instance 13,0.36395900857959956
Instance 14,0.36478635014836797
Instance 15,0.3506203605514317
Instance 16,0.3291919075144508
Instance 17,0.3307682926829269
Instance 18,0.36801367989056083
Instance 19,0.3388803030303031
Instance 20,0.3307682926829269
Instance 21,0.3764488054607509
Instance 22,0.3440872340425532
Instance 23,0.3506203605514317
Instance 24,0.3307682926829269
Instance 25,0.3044946619217082
Instance 26,0.30822408963585435
Instance 27,0.35947453083109915
Instance 28,0.37997985781990523
Instance 29,0.35683266932270924
Instance 30,0.3388803030303031
All Method BMA Weighted Prediction,0.3498072546230441
