Instance,BMA Weighted Prediction
Instance 1,0.7069613009863318
Instance 2,0.6998645078690048
Instance 3,0.7149761274716948
Instance 4,0.7045592526452075
Instance 5,0.7022033971348748
Instance 6,0.7155471293867423
Instance 7,0.7066226700883442
Instance 8,0.7005995070865669
Instance 9,0.7151677608235381
Instance 10,0.7037819584861771
Instance 11,0.7013010259693847
Instance 12,0.7144780466601109
Instance 13,0.7038016909717133
Instance 14,0.7132587691011328
Instance 15,0.6989849642241952
Instance 16,0.711440559462514
Instance 17,0.7160332523553687
Instance 18,0.6995553759348734
Instance 19,0.7092093311299456
Instance 20,0.712639041898623
Instance 21,0.6970896680808585
Instance 22,0.7092917244106945
Instance 23,0.6989849642241952
Instance 24,0.7160332523553687
Instance 25,0.7092093311299456
Instance 26,0.6970896680808585
Instance 27,0.7082028795170895
Instance 28,0.7053925357215103
Instance 29,0.7082084168336675
Instance 30,0.7091437381136861
Instance 31,0.7115329720876747
Instance 32,0.7097394297072898
Instance 33,0.7090492245657569
Instance 34,0.705559004568406
Instance 35,0.7063864695192468
Instance 36,0.7057877223597286
Instance 37,0.6889477603498982
Instance 38,0.7064313183005492
Instance 39,0.6946692353655123
Instance 40,0.6867707093603564
Instance 41,0.7001884042418887
Instance 42,0.6831641259787867
Instance 43,0.6795995778946685
Instance 44,0.7050314758847619
Instance 45,0.7214632050883064
Instance 46,0.7196351244971564
Instance 47,0.7348360967741937
Instance 48,0.7232118352072843
Instance 49,0.7172172996437679
Instance 50,0.7345090812368028
Instance 51,0.7225620383275261
Instance 52,0.703932264350422
Instance 53,0.7237792208571773
Instance 54,0.712640384684978
Instance 55,0.7048725667536846
Instance 56,0.7250267924140411
Instance 57,0.7159321293514033
Instance 58,0.7053415724326219
Instance 59,0.7095166496887381
Instance 60,0.6972171323159484
All Method BMA Weighted Prediction,0.7069613009863318
