Instance,BMA Weighted Prediction
Instance 1,0.8922247837761258
Instance 2,0.8839052934217818
Instance 3,0.8939774374517317
Instance 4,0.8859800139887197
Instance 5,0.8892471883730607
Instance 6,0.9075548557249203
Instance 7,0.8922922348568649
Instance 8,0.8838501588110148
Instance 9,0.8936074206030518
Instance 10,0.8864340923324686
Instance 11,0.8894613750074455
Instance 12,0.9073596248948937
Instance 13,0.8832570038839219
Instance 14,0.8873739398162404
Instance 15,0.8819558334437526
Instance 16,0.9060509952279291
Instance 17,0.909132464377482
Instance 18,0.8830514544311338
Instance 19,0.8846282846297329
Instance 20,0.8874449311456198
Instance 21,0.8826762465685052
Instance 22,0.9060894716025946
Instance 23,0.8819558334437526
Instance 24,0.909132464377482
Instance 25,0.8846282846297329
Instance 26,0.8826762465685052
Instance 27,0.8851229888245369
Instance 28,0.8765030103532615
Instance 29,0.8831207797413009
Instance 30,0.9003454286116787
Instance 31,0.9076507579189462
Instance 32,0.9014907912327611
Instance 33,0.8838371496861773
Instance 34,0.8764551241977548
Instance 35,0.8834279530811168
Instance 36,0.900915315443651
Instance 37,0.8700623897141996
Instance 38,0.8941072516303286
Instance 39,0.8741006068527681
Instance 40,0.8630010724218065
Instance 41,0.8725573054748977
Instance 42,0.8614731666052101
Instance 43,0.8659246790917158
Instance 44,0.8937761834081438
Instance 45,0.9063773185248583
Instance 46,0.903364677833264
Instance 47,0.9157908140417459
Instance 48,0.9062466044698902
Instance 49,0.9109446925308055
Instance 50,0.929273203149297
Instance 51,0.914149413472706
Instance 52,0.8821020046020854
Instance 53,0.8955332366241148
Instance 54,0.8874572485795966
Instance 55,0.8898625665481305
Instance 56,0.9125571259700878
Instance 57,0.8840852067619223
Instance 58,0.8769684849379253
Instance 59,0.901082456140351
Instance 60,0.8774921583095756
All Method BMA Weighted Prediction,0.8922247837761256
