Instance,BMA Weighted Prediction
Instance 1,0.7836449106449107
Instance 2,0.7887687609075044
Instance 3,0.7824501642935379
Instance 4,0.7828332968236584
Instance 5,0.7854412556053812
Instance 6,0.7840331922477167
Instance 7,0.7808608501118568
Instance 8,0.7823300359712231
Instance 9,0.7823452300785634
Instance 10,0.7758180045498861
Instance 11,0.7881522119470133
Instance 12,0.7832965998785671
Instance 13,0.7811009690528291
Instance 14,0.7771062348668282
Instance 15,0.7847557389734331
Instance 16,0.7862112601946856
Instance 17,0.7808367882445553
Instance 18,0.7787925729442969
Instance 19,0.7805454061251664
Instance 20,0.7873461305925031
Instance 21,0.7920344099003924
Instance 22,0.7786400247831474
Instance 23,0.7794900951890918
Instance 24,0.7895661901802361
Instance 25,0.7790722120658136
Instance 26,0.7939144269385233
Instance 27,0.7873461305925031
Instance 28,0.7878370392042129
Instance 29,0.7847557389734331
Instance 30,0.7862112601946856
All Method BMA Weighted Prediction,0.7836449106449107
