Instance,BMA Weighted Prediction
Instance 1,49.63109566943789
Instance 2,48.445336927223714
Instance 3,47.07112195121951
Instance 4,49.43903926801372
Instance 5,52.45607375271151
Instance 6,51.56940473095919
Instance 7,47.86075498575499
Instance 8,48.13850391417802
Instance 9,48.52613886270814
Instance 10,48.52613886270814
Instance 11,47.98257391304348
Instance 12,48.13428625881456
Instance 13,48.65535585909418
Instance 14,48.25293359123147
Instance 15,48.140970873786415
Instance 16,48.238123752495014
Instance 17,47.92443438914027
Instance 18,47.92443438914027
Instance 19,47.07112195121951
Instance 20,47.07112195121951
Instance 21,49.7
Instance 22,49.7
Instance 23,52.5
Instance 24,46.148027613412225
Instance 25,47.03970588235293
Instance 28,47.07112195121951
Instance 29,49.45995914198162
Instance 30,51.054949121184094
Instance 31,50.11407972858354
Instance 32,54.35918018787361
Instance 33,47.78136432926829
Instance 34,51.85937044593414
Instance 35,47.77618119824647
Instance 36,47.800000000000004
Instance 37,48.35511655472146
Instance 38,52.414566115702485
Instance 39,49.50653658536586
Instance 40,46.148027613412225
Instance 41,46.16557805355976
Instance 42,46.675484677923706
Instance 43,47.03970588235293
Instance 44,47.800000000000004
Instance 47,49.7
Instance 48,47.07112195121951
Instance 49,47.92443438914027
Instance 50,47.71786197564276
Instance 51,49.22901726427623
Instance 52,50.53348504551366
Instance 53,49.42658150851582
Instance 54,51.10057703404501
Instance 55,48.05756867329046
Instance 56,54.097481813094575
Instance 57,46.675484677923706
Instance 59,47.07112195121951
Instance 60,49.22901726427623
Instance 61,51.10057703404501
Instance 62,54.097481813094575
Instance 63,49.42658150851582
Instance 64,47.71786197564276
Instance 65,49.7
Instance 66,47.800000000000004
Instance 67,46.16557805355976
Instance 68,50.61244652678754
Instance 69,47.42414117647059
Instance 70,47.78136432926829
Instance 71,48.77371162280703
Instance 72,49.64924651691783
Instance 73,49.94295569523225
Instance 74,50.265151515151516
Instance 75,50.524139834406625
Instance 76,50.524139834406625
Instance 77,50.524139834406625
Instance 78,50.524139834406625
Instance 79,50.524139834406625
Instance 80,50.61244652678754
Instance 81,51.32671201814058
Instance 82,48.35854591836735
Instance 83,47.98257391304348
Instance 84,47.98257391304348
Instance 85,48.13428625881456
Instance 86,48.3753589527027
Instance 87,48.64192936714861
Instance 88,48.77371162280703
Instance 89,48.77371162280703
Instance 90,48.77371162280703
Instance 91,48.77371162280703
Instance 92,48.063064985451014
Instance 93,47.40440818314662
Instance 94,47.16700465881064
Instance 95,46.83003048780488
Instance 96,47.906691449814126
Instance 97,47.816429495472185
Instance 98,49.47327489742633
Instance 99,47.810049288061336
Instance 100,48.689672016748084
All Method BMA Weighted Prediction,49.45670628183361
