Instance,BMA Weighted Prediction
Instance 1,59.22838288228236
Instance 2,58.10425531914893
Instance 3,57.99110212335692
Instance 4,56.9940980485483
Instance 5,61.67923351158645
Instance 6,60.49504181600956
Instance 7,58.20724777269444
Instance 8,58.2116403785489
Instance 9,58.18522727272728
Instance 10,58.18522727272728
Instance 11,57.76822033898307
Instance 12,57.70044785668587
Instance 13,58.226721991701254
Instance 14,57.486006289308186
Instance 15,57.03817550818047
Instance 16,56.06604426002765
Instance 17,57.99110212335692
Instance 18,57.99110212335692
Instance 19,57.99110212335692
Instance 20,57.99110212335692
Instance 21,57.99110212335692
Instance 22,60.8
Instance 23,56.8
Instance 24,56.83777120315582
Instance 25,59.92766544117647
Instance 27,54.8
Instance 28,60.8
Instance 29,51.9
Instance 30,59.404995374653105
Instance 31,59.21687871077184
Instance 32,65.48479931682323
Instance 33,58.11143292682926
Instance 34,61.415389099387944
Instance 35,57.725231368728686
Instance 36,57.39545454545455
Instance 37,57.54801324503311
Instance 38,61.817424242424245
Instance 39,57.585170731707315
Instance 40,56.83777120315582
Instance 41,58.04069235793599
Instance 42,58.44878048780488
Instance 43,59.92766544117647
Instance 44,59.5
Instance 45,54.8
Instance 46,54.8
Instance 47,57.99110212335692
Instance 48,60.8
Instance 49,60.8
Instance 50,51.9
Instance 51,55.80965447154471
Instance 52,57.17496749024707
Instance 53,58.41015815085159
Instance 54,59.3393537218696
Instance 55,58.99398012857977
Instance 56,64.18013430330161
Instance 57,58.44878048780488
Instance 58,54.8
Instance 59,60.8
Instance 60,55.80965447154471
Instance 61,59.3393537218696
Instance 62,64.18013430330161
Instance 63,58.41015815085159
Instance 64,51.9
Instance 65,57.99110212335692
Instance 66,59.5
Instance 67,58.04069235793599
Instance 68,60.29693930041152
Instance 69,58.27387944358578
Instance 70,58.11143292682926
Instance 71,57.31320388349514
Instance 72,59.48846510191476
Instance 73,59.84727577535626
Instance 74,59.79482378854626
Instance 75,59.82934180848883
Instance 76,59.82934180848883
Instance 77,59.82934180848883
Instance 78,60.35688717716358
Instance 79,60.35688717716358
Instance 80,60.29693930041152
Instance 81,60.29693930041152
Instance 82,57.679768988449425
Instance 83,57.76822033898307
Instance 84,57.76822033898307
Instance 85,57.70044785668587
Instance 86,57.9940402106271
Instance 87,57.65427478830921
Instance 88,57.31320388349514
Instance 89,57.31320388349514
Instance 90,57.31320388349514
Instance 91,57.75614769699278
Instance 92,57.59284315858169
Instance 93,57.4707722660654
Instance 94,58.29440310579101
Instance 95,58.27387944358578
Instance 96,59.00553683196919
Instance 97,57.724072612470394
Instance 98,59.89875604699378
Instance 99,58.05544113554134
Instance 100,58.41430917194464
All Method BMA Weighted Prediction,58.42643840784757
